index,annotator_labels,captionID,gold_label,pairID,sentence1,sentence1_binary_parse,sentence1_parse,sentence2,sentence2_binary_parse,sentence2_parse
,"['neutral', 'neutral', 'neutral', 'neutral', 'contradiction']",847782643.jpg#0,neutral,847782643.jpg#0r1n,Two children re laying on a rug with some wooden bricks laid out in a square between them.,( ( Two children ) ( ( re ( ( laying ( on ( a rug ) ) ) ( with ( ( some ( wooden bricks ) ) ( ( laid out ) ( in ( ( a square ) ( between them ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (CD Two) (NNS children)) (VP (VBP re) (S (VP (VBG laying) (PP (IN on) (NP (DT a) (NN rug))) (PP (IN with) (NP (NP (DT some) (JJ wooden) (NNS bricks)) (VP (VBN laid) (PRT (RP out)) (PP (IN in) (NP (NP (DT a) (NN square)) (PP (IN between) (NP (PRP them))))))))))) (. .))),Two children are building a brick furnace.,( ( Two children ) ( ( are ( building ( a ( brick furnace ) ) ) ) . ) ),(ROOT (S (NP (CD Two) (NNS children)) (VP (VBP are) (VP (VBG building) (NP (DT a) (NN brick) (NN furnace)))) (. .)))
,"['neutral', 'neutral', 'contradiction', 'neutral', 'neutral']",407008823.jpg#3,neutral,407008823.jpg#3r1n,People jump over a mountain crevasse on a rope.,( People ( ( jump ( over ( ( a ( mountain crevasse ) ) ( on ( a rope ) ) ) ) ) . ) ),(ROOT (S (NP (NNS People)) (VP (VBP jump) (PP (IN over) (NP (NP (DT a) (NN mountain) (NN crevasse)) (PP (IN on) (NP (DT a) (NN rope)))))) (. .))),Some people look visually afraid to jump.,( ( Some people ) ( ( look ( visually ( afraid ( to jump ) ) ) ) . ) ),(ROOT (S (NP (DT Some) (NNS people)) (VP (VBP look) (ADJP (RB visually) (JJ afraid) (S (VP (TO to) (VP (VB jump)))))) (. .)))
,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",407008823.jpg#3,contradiction,407008823.jpg#3r1c,People jump over a mountain crevasse on a rope.,( People ( ( jump ( over ( ( a ( mountain crevasse ) ) ( on ( a rope ) ) ) ) ) . ) ),(ROOT (S (NP (NNS People)) (VP (VBP jump) (PP (IN over) (NP (NP (DT a) (NN mountain) (NN crevasse)) (PP (IN on) (NP (DT a) (NN rope)))))) (. .))),People slide over a mountain crevasse on a slide.,( People ( ( ( slide over ) ( ( a ( mountain crevasse ) ) ( on ( a slide ) ) ) ) . ) ),(ROOT (S (NP (NNS People)) (VP (VB slide) (PRT (RP over)) (NP (NP (DT a) (NN mountain) (NN crevasse)) (PP (IN on) (NP (DT a) (NN slide))))) (. .)))
,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",3364026240.jpg#3,neutral,3364026240.jpg#3r1n,A snowboarder on a wide plain of snow,( ( A snowboarder ) ( on ( ( a ( wide plain ) ) ( of snow ) ) ) ),(ROOT (NP (NP (DT A) (NN snowboarder)) (PP (IN on) (NP (NP (DT a) (JJ wide) (NN plain)) (PP (IN of) (NP (NN snow))))))),A snowboarder gliding over a field of snow,( A ( snowboarder ( gliding ( over ( ( a field ) ( of snow ) ) ) ) ) ),(ROOT (FRAG (NP (DT A) (NN snowboarder) (S (VP (VBG gliding) (PP (IN over) (NP (NP (DT a) (NN field)) (PP (IN of) (NP (NN snow))))))))))
,"['contradiction', 'contradiction', 'neutral', 'neutral', 'neutral']",3364026240.jpg#3,neutral,3364026240.jpg#3r1c,A snowboarder on a wide plain of snow,( ( A snowboarder ) ( on ( ( a ( wide plain ) ) ( of snow ) ) ) ),(ROOT (NP (NP (DT A) (NN snowboarder)) (PP (IN on) (NP (NP (DT a) (JJ wide) (NN plain)) (PP (IN of) (NP (NN snow))))))),A snowmobile in a blizzard,( ( A snowmobile ) ( in ( a blizzard ) ) ),(ROOT (NP (NP (DT A) (NN snowmobile)) (PP (IN in) (NP (DT a) (NN blizzard)))))
,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",2936881937.jpg#4,neutral,2936881937.jpg#4r1n,A man in a black shirt overlooking bike maintenance.,( ( ( ( A man ) ( in ( a ( black shirt ) ) ) ) ( overlooking ( bike maintenance ) ) ) . ),(ROOT (NP (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT a) (JJ black) (NN shirt)))) (VP (VBG overlooking) (NP (NN bike) (NN maintenance))) (. .))),A man learns bike maintenance.,( ( A man ) ( ( learns ( bike maintenance ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ learns) (NP (NN bike) (NN maintenance))) (. .)))
,"['entailment', 'entailment', 'entailment', 'entailment', 'entailment']",2936881937.jpg#2,entailment,2936881937.jpg#2r1e,A man in a black shirt is looking at a bike in a workshop.,( ( ( A man ) ( in ( a ( black shirt ) ) ) ) ( ( is ( looking ( at ( ( a bike ) ( in ( a workshop ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT a) (JJ black) (NN shirt)))) (VP (VBZ is) (VP (VBG looking) (PP (IN at) (NP (NP (DT a) (NN bike)) (PP (IN in) (NP (DT a) (NN workshop))))))) (. .))),A man is in a black shirt,( ( A man ) ( is ( in ( a ( black shirt ) ) ) ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (PP (IN in) (NP (DT a) (JJ black) (NN shirt))))))
,"['entailment', 'entailment', 'neutral', 'entailment', 'entailment']",2936881937.jpg#0,entailment,2936881937.jpg#0r1e,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,( ( ( A man ) ( ( looking over ) ( ( ( ( ( a ( bicycle 's ) ) ( rear wheel ) ) ( in ( the ( maintenance garage ) ) ) ) ( with ( various tools ) ) ) ( visible ( in ( the background ) ) ) ) ) ) . ),(ROOT (NP (NP (DT A) (NN man)) (VP (VBG looking) (PRT (RP over)) (NP (NP (NP (DT a) (NN bicycle) (POS 's)) (JJ rear) (NN wheel)) (PP (IN in) (NP (DT the) (NN maintenance) (NN garage))) (PP (IN with) (NP (JJ various) (NNS tools))) (ADJP (JJ visible) (PP (IN in) (NP (DT the) (NN background)))))) (. .))),A man repairs bicycles.,( ( A ( man repairs ) ) ( bicycles . ) ),(ROOT (S (NP (DT A) (NN man) (NNS repairs)) (VP (VBD bicycles)) (. .)))
,"['contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction']",2936881937.jpg#0,contradiction,2936881937.jpg#0r1c,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,( ( ( A man ) ( ( looking over ) ( ( ( ( ( a ( bicycle 's ) ) ( rear wheel ) ) ( in ( the ( maintenance garage ) ) ) ) ( with ( various tools ) ) ) ( visible ( in ( the background ) ) ) ) ) ) . ),(ROOT (NP (NP (DT A) (NN man)) (VP (VBG looking) (PRT (RP over)) (NP (NP (NP (DT a) (NN bicycle) (POS 's)) (JJ rear) (NN wheel)) (PP (IN in) (NP (DT the) (NN maintenance) (NN garage))) (PP (IN with) (NP (JJ various) (NNS tools))) (ADJP (JJ visible) (PP (IN in) (NP (DT the) (NN background)))))) (. .))),A man waits outside a garage.,( ( A man ) ( ( waits ( outside ( a garage ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ waits) (PP (IN outside) (NP (DT a) (NN garage)))) (. .)))
,"['neutral', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",4499295511.jpg#0,contradiction,4499295511.jpg#0r1n,"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","( ( ( ( ( ( ( ( ( ( Three people ) ( sit ( on ( ( a bench ) ( at ( a station ) ) ) ) ) ) , ) ( ( the man ) ( ( looks oddly ) ( at ( the ( two women ) ) ) ) ) ) , ) ( ( the ( redheaded women ) ) ( ( looks ( ( up and ) forward ) ) ( in ( an ( awkward position ) ) ) ) ) ) , ) and ) ( ( the ( yellow ( blond girl ) ) ) ( twiddles ( with ( her hair ) ) ) ) ) . )","(ROOT (S (S (NP (CD Three) (NNS people)) (VP (VBP sit) (PP (IN on) (NP (NP (DT a) (NN bench)) (PP (IN at) (NP (DT a) (NN station))))))) (, ,) (S (NP (DT the) (NN man)) (VP (VBZ looks) (ADVP (RB oddly)) (PP (IN at) (NP (DT the) (CD two) (NNS women))))) (, ,) (S (NP (DT the) (JJ redheaded) (NNS women)) (VP (VBZ looks) (ADVP (RB up) (CC and) (RB forward)) (PP (IN in) (NP (DT an) (JJ awkward) (NN position))))) (, ,) (CC and) (S (NP (DT the) (JJ yellow) (JJ blond) (NN girl)) (VP (VBZ twiddles) (PP (IN with) (NP (PRP$ her) (NN hair))))) (. .)))",Some people stand around.,( ( Some people ) ( ( stand around ) . ) ),(ROOT (S (NP (DT Some) (NNS people)) (VP (VBP stand) (ADVP (RB around))) (. .)))
,"['neutral', 'neutral', 'neutral', 'entailment', 'entailment']",4114589329.jpg#0,neutral,4114589329.jpg#0r1n,A Ford car is making a right turn as 3 males are walking across the street behind the car.,( ( A ( Ford car ) ) ( ( is ( ( making ( a ( right turn ) ) ) ( as ( ( 3 males ) ( are ( walking ( across ( ( the street ) ( behind ( the car ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NNP Ford) (NN car)) (VP (VBZ is) (VP (VBG making) (NP (DT a) (JJ right) (NN turn)) (SBAR (IN as) (S (NP (CD 3) (NNS males)) (VP (VBP are) (VP (VBG walking) (PP (IN across) (NP (NP (DT the) (NN street)) (PP (IN behind) (NP (DT the) (NN car))))))))))) (. .))),A sedan was turning a corner as walkers were crossing.,( ( A sedan ) ( ( was ( ( turning ( a corner ) ) ( as ( walkers ( were crossing ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN sedan)) (VP (VBD was) (VP (VBG turning) (NP (DT a) (NN corner)) (SBAR (IN as) (S (NP (NNS walkers)) (VP (VBD were) (VP (VBG crossing))))))) (. .)))
,"['neutral', 'entailment', 'neutral', 'entailment', 'entailment']",4114589329.jpg#2,entailment,4114589329.jpg#2r1n,Three boys in white shirts are walking behind an older model Ford car.,( ( ( Three boys ) ( in ( white shirts ) ) ) ( ( are ( walking ( behind ( ( an ( older model ) ) ( Ford car ) ) ) ) ) . ) ),(ROOT (S (NP (NP (CD Three) (NNS boys)) (PP (IN in) (NP (JJ white) (NNS shirts)))) (VP (VBP are) (VP (VBG walking) (PP (IN behind) (NP (NP (DT an) (JJR older) (NN model)) (NNP Ford) (NN car))))) (. .))),The boys are on the street,( ( The boys ) ( are ( on ( the street ) ) ) ),(ROOT (S (NP (DT The) (NNS boys)) (VP (VBP are) (PP (IN on) (NP (DT the) (NN street))))))
,"['contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction']",2147876139.jpg#4,contradiction,2147876139.jpg#4r1c,Three girls blow out the candles of a cake made of Peeps.,( ( ( ( Three girls ) ( ( blow out ) ( the candles ) ) ) ( of ( a cake ) ) ) ( ( made ( of Peeps ) ) . ) ),(ROOT (S (NP (NP (NP (CD Three) (NNS girls)) (VP (NN blow) (PRT (RP out)) (NP (DT the) (NNS candles)))) (PP (IN of) (NP (DT a) (NN cake)))) (VP (VBD made) (PP (IN of) (NP (NNP Peeps)))) (. .))),There are peeps in the garden.,( There ( ( are ( peeps ( in ( the garden ) ) ) ) . ) ),(ROOT (S (NP (EX There)) (VP (VBP are) (ADJP (JJ peeps) (PP (IN in) (NP (DT the) (NN garden))))) (. .)))
,"['entailment', 'entailment', 'entailment', 'entailment', 'neutral']",2622986361.jpg#2,entailment,2622986361.jpg#2r1e,A crowd of people looking up at 3 people on the edge of the roof of a building.,( ( ( ( A crowd ) ( of people ) ) ( ( looking up ) ( at ( ( 3 people ) ( on ( ( the edge ) ( of ( ( the roof ) ( of ( a building ) ) ) ) ) ) ) ) ) ) . ),(ROOT (NP (NP (NP (DT A) (NN crowd)) (PP (IN of) (NP (NNS people)))) (VP (VBG looking) (PRT (RP up)) (PP (IN at) (NP (NP (CD 3) (NNS people)) (PP (IN on) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (NN roof)) (PP (IN of) (NP (DT a) (NN building)))))))))) (. .))),The crowd on the ground is watching 3 people on the roof's edge.,( ( ( The crowd ) ( on ( the ground ) ) ) ( ( is ( watching ( ( 3 people ) ( on ( ( the ( roof 's ) ) edge ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT The) (NN crowd)) (PP (IN on) (NP (DT the) (NN ground)))) (VP (VBZ is) (VP (VBG watching) (NP (NP (CD 3) (NNS people)) (PP (IN on) (NP (NP (DT the) (NN roof) (POS 's)) (NN edge)))))) (. .)))
,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",4926115712.jpg#1,neutral,4926115712.jpg#1r1n,An old woman watches a man look down at some balls on the ground.,( ( An ( old woman ) ) ( ( watches ( ( a man ) ( ( look down ) ( at ( ( some balls ) ( on ( the ground ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT An) (JJ old) (NN woman)) (VP (VBZ watches) (S (NP (DT a) (NN man)) (VP (VB look) (PRT (RP down)) (PP (IN at) (NP (NP (DT some) (NNS balls)) (PP (IN on) (NP (DT the) (NN ground)))))))) (. .))),An elderly female is stalking a male.,( ( An ( elderly female ) ) ( ( is ( stalking ( a male ) ) ) . ) ),(ROOT (S (NP (DT An) (JJ elderly) (NN female)) (VP (VBZ is) (VP (VBG stalking) (NP (DT a) (NN male)))) (. .)))
,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",7591663030.jpg#4,neutral,7591663030.jpg#4r1n,A guy riding a motorcycle near junk cars,( ( A ( guy riding ) ) ( ( a motorcycle ) ( near ( junk cars ) ) ) ),(ROOT (NP (NP (DT A) (NN guy) (NN riding)) (NP (NP (DT a) (NN motorcycle)) (PP (IN near) (NP (NN junk) (NNS cars)))))),The man is test driving a motorcycle to decide whether or not he will buy it.,( ( The man ) ( ( is ( test ( driving ( a ( motorcycle ( to ( decide ( ( ( whether or ) not ) ( he ( will ( buy it ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN man)) (VP (VBZ is) (NP (NP (NN test)) (VP (VBG driving) (NP (DT a) (NN motorcycle) (S (VP (TO to) (VP (VB decide) (SBAR (IN whether) (CC or) (RB not) (S (NP (PRP he)) (VP (MD will) (VP (VB buy) (NP (PRP it))))))))))))) (. .)))
,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",7249180494.jpg#0,neutral,7249180494.jpg#0r1n,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,( ( A ( professional swimmer ) ) ( ( ( ( spits water ) out ) ( after ( surfacing ( while ( grabbing ( ( the hand ) ( of ( someone ( ( ( helping him ) back ) ( to land ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (JJ professional) (NN swimmer)) (VP (VBZ spits) (NP (NN water)) (PRT (RP out)) (PP (IN after) (S (VP (VBG surfacing) (SBAR (IN while) (S (VP (VBG grabbing) (NP (NP (DT the) (NN hand)) (PP (IN of) (NP (NP (NN someone)) (VP (VBG helping) (NP (PRP him)) (ADVP (RB back)) (PP (TO to) (NP (NN land)))))))))))))) (. .))),The swimmer almost drowned after being sucked under a fast current.,( ( The swimmer ) ( almost ( ( drowned ( after ( being ( sucked ( under ( a ( fast current ) ) ) ) ) ) ) . ) ) ),(ROOT (S (NP (DT The) (NN swimmer)) (ADVP (RB almost)) (VP (VBD drowned) (PP (IN after) (S (VP (VBG being) (VP (VBN sucked) (PP (IN under) (NP (DT a) (JJ fast) (NN current)))))))) (. .)))
,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",7249180494.jpg#1,neutral,7249180494.jpg#1r1n,The man in the black wetsuit is walking out of the water.,( ( ( The man ) ( in ( the ( black wetsuit ) ) ) ) ( ( is ( ( walking out ) ( of ( the water ) ) ) ) . ) ),(ROOT (S (NP (NP (DT The) (NN man)) (PP (IN in) (NP (DT the) (JJ black) (NN wetsuit)))) (VP (VBZ is) (VP (VBG walking) (PRT (RP out)) (PP (IN of) (NP (DT the) (NN water))))) (. .))),A man in a wetsuit walks out of the water carrying a surfboard.,( ( ( A man ) ( in ( a wetsuit ) ) ) ( ( ( walks out ) ( of ( ( the water ) ( carrying ( a surfboard ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT a) (NN wetsuit)))) (VP (VBZ walks) (PRT (RP out)) (PP (IN of) (NP (NP (DT the) (NN water)) (VP (VBG carrying) (NP (DT a) (NN surfboard)))))) (. .)))
,"['neutral', 'neutral', 'neutral', 'contradiction', 'neutral']",1680409989.jpg#0,neutral,1680409989.jpg#0r1n,A person with a purple shirt is painting an image of a woman on a white wall.,( ( ( A person ) ( with ( a ( purple shirt ) ) ) ) ( ( is ( painting ( ( an image ) ( of ( ( a woman ) ( on ( a ( white wall ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN person)) (PP (IN with) (NP (DT a) (JJ purple) (NN shirt)))) (VP (VBZ is) (VP (VBG painting) (NP (NP (DT an) (NN image)) (PP (IN of) (NP (NP (DT a) (NN woman)) (PP (IN on) (NP (DT a) (JJ white) (NN wall)))))))) (. .))),A woman paints a portrait of her best friend.,( ( A woman ) ( ( paints ( ( a portrait ) ( of ( her ( best friend ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ paints) (NP (NP (DT a) (NN portrait)) (PP (IN of) (NP (PRP$ her) (JJS best) (NN friend))))) (. .)))
,"['entailment', 'neutral', 'neutral', 'neutral', 'entailment']",1680409989.jpg#0,neutral,1680409989.jpg#0r1e,A person with a purple shirt is painting an image of a woman on a white wall.,( ( ( A person ) ( with ( a ( purple shirt ) ) ) ) ( ( is ( painting ( ( an image ) ( of ( ( a woman ) ( on ( a ( white wall ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN person)) (PP (IN with) (NP (DT a) (JJ purple) (NN shirt)))) (VP (VBZ is) (VP (VBG painting) (NP (NP (DT an) (NN image)) (PP (IN of) (NP (NP (DT a) (NN woman)) (PP (IN on) (NP (DT a) (JJ white) (NN wall)))))))) (. .))),A woman paints a portrait of a person.,( ( A woman ) ( ( paints ( ( a portrait ) ( of ( a person ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ paints) (NP (NP (DT a) (NN portrait)) (PP (IN of) (NP (DT a) (NN person))))) (. .)))
