index,full,casewords,wsw,nopunc,text_lemmatized,final,fullnopunc,label
15,A man in a black shirt overlooking bike maintenance.,a man in a black shirt overlooking bike maintenance.,man black shirt overlooking bike maintenance.,man black shirt overlooking bike maintenance,"['man', 'black', 'shirt', 'overlooking', 'bike', 'maintenance']",man black shirt overlooking bike maintenance,A man in a black shirt overlooking bike maintenance,neutral
16,A man in a black shirt is looking at a bike in a workshop.,a man in a black shirt is looking at a bike in a workshop.,man black shirt looking bike workshop.,man black shirt looking bike workshop,"['man', 'black', 'shirt', 'looking', 'bike', 'workshop']",man black shirt looking bike workshop,A man in a black shirt is looking at a bike in a workshop,entailment
17,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,a man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,man looking bicycle's rear wheel maintenance garage various tools visible background.,man looking bicycles rear wheel maintenance garage various tools visible background,"['man', 'looking', 'bicycle', 'rear', 'wheel', 'maintenance', 'garage', 'various', 'tool', 'visible', 'background']",man looking bicycle rear wheel maintenance garage various tool visible background,A man looking over a bicycles rear wheel in the maintenance garage with various tools visible in the background,entailment
18,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,a man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,man looking bicycle's rear wheel maintenance garage various tools visible background.,man looking bicycles rear wheel maintenance garage various tools visible background,"['man', 'looking', 'bicycle', 'rear', 'wheel', 'maintenance', 'garage', 'various', 'tool', 'visible', 'background']",man looking bicycle rear wheel maintenance garage various tool visible background,A man looking over a bicycles rear wheel in the maintenance garage with various tools visible in the background,contradiction
19,"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","three people sit bench station, man looks oddly two women, redheaded women looks forward awkward position, yellow blond girl twiddles hair.",three people sit bench station man looks oddly two women redheaded women looks forward awkward position yellow blond girl twiddles hair,"['three', 'people', 'sit', 'bench', 'station', 'man', 'look', 'oddly', 'two', 'woman', 'redheaded', 'woman', 'look', 'forward', 'awkward', 'position', 'yellow', 'blond', 'girl', 'twiddle', 'hair']",three people sit bench station man look oddly two woman redheaded woman look forward awkward position yellow blond girl twiddle hair,Three people sit on a bench at a station the man looks oddly at the two women the redheaded women looks up and forward in an awkward position and the yellow blond girl twiddles with her hair,contradiction
20,A Ford car is making a right turn as 3 males are walking across the street behind the car.,a ford car is making a right turn as 3 males are walking across the street behind the car.,ford car making right turn 3 males walking across street behind car.,ford car making right turn 3 males walking across street behind car,"['ford', 'car', 'making', 'right', 'turn', '3', 'male', 'walking', 'across', 'street', 'behind', 'car']",ford car making right turn 3 male walking across street behind car,A Ford car is making a right turn as 3 males are walking across the street behind the car,neutral
21,Three boys in white shirts are walking behind an older model Ford car.,three boys in white shirts are walking behind an older model ford car.,three boys white shirts walking behind older model ford car.,three boys white shirts walking behind older model ford car,"['three', 'boy', 'white', 'shirt', 'walking', 'behind', 'older', 'model', 'ford', 'car']",three boy white shirt walking behind older model ford car,Three boys in white shirts are walking behind an older model Ford car,entailment
22,Three girls blow out the candles of a cake made of Peeps.,three girls blow out the candles of a cake made of peeps.,three girls blow candles cake made peeps.,three girls blow candles cake made peeps,"['three', 'girl', 'blow', 'candle', 'cake', 'made', 'peep']",three girl blow candle cake made peep,Three girls blow out the candles of a cake made of Peeps,contradiction
23,A crowd of people looking up at 3 people on the edge of the roof of a building.,a crowd of people looking up at 3 people on the edge of the roof of a building.,crowd people looking 3 people edge roof building.,crowd people looking 3 people edge roof building,"['crowd', 'people', 'looking', '3', 'people', 'edge', 'roof', 'building']",crowd people looking 3 people edge roof building,A crowd of people looking up at 3 people on the edge of the roof of a building,entailment
24,An old woman watches a man look down at some balls on the ground.,an old woman watches a man look down at some balls on the ground.,old woman watches man look balls ground.,old woman watches man look balls ground,"['old', 'woman', 'watch', 'man', 'look', 'ball', 'ground']",old woman watch man look ball ground,An old woman watches a man look down at some balls on the ground,neutral
25,A guy riding a motorcycle near junk cars,a guy riding a motorcycle near junk cars,guy riding motorcycle near junk cars,guy riding motorcycle near junk cars,"['guy', 'riding', 'motorcycle', 'near', 'junk', 'car']",guy riding motorcycle near junk car,A guy riding a motorcycle near junk cars,neutral
26,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,a professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,professional swimmer spits water surfacing grabbing hand someone helping back land.,professional swimmer spits water surfacing grabbing hand someone helping back land,"['professional', 'swimmer', 'spit', 'water', 'surfacing', 'grabbing', 'hand', 'someone', 'helping', 'back', 'land']",professional swimmer spit water surfacing grabbing hand someone helping back land,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land,neutral
27,The man in the black wetsuit is walking out of the water.,the man in the black wetsuit is walking out of the water.,man black wetsuit walking water.,man black wetsuit walking water,"['man', 'black', 'wetsuit', 'walking', 'water']",man black wetsuit walking water,The man in the black wetsuit is walking out of the water,neutral
28,A person with a purple shirt is painting an image of a woman on a white wall.,a person with a purple shirt is painting an image of a woman on a white wall.,person purple shirt painting image woman white wall.,person purple shirt painting image woman white wall,"['person', 'purple', 'shirt', 'painting', 'image', 'woman', 'white', 'wall']",person purple shirt painting image woman white wall,A person with a purple shirt is painting an image of a woman on a white wall,neutral
29,A person with a purple shirt is painting an image of a woman on a white wall.,a person with a purple shirt is painting an image of a woman on a white wall.,person purple shirt painting image woman white wall.,person purple shirt painting image woman white wall,"['person', 'purple', 'shirt', 'painting', 'image', 'woman', 'white', 'wall']",person purple shirt painting image woman white wall,A person with a purple shirt is painting an image of a woman on a white wall,neutral
30,Two women walk down a sidewalk along a busy street in a downtown area.,two women walk down a sidewalk along a busy street in a downtown area.,two women walk sidewalk along busy street downtown area.,two women walk sidewalk along busy street downtown area,"['two', 'woman', 'walk', 'sidewalk', 'along', 'busy', 'street', 'downtown', 'area']",two woman walk sidewalk along busy street downtown area,Two women walk down a sidewalk along a busy street in a downtown area,neutral
31,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""","many people standing outside of a place talking to each other in front of a building that has a sign that says ""hi-pointe.""","many people standing outside place talking front building sign says ""hi-pointe.""","many people standing outside place talking front building sign says ""hi-pointe""","['many', 'people', 'standing', 'outside', 'place', 'talking', 'front', 'building', 'sign', 'say', '""hi-pointe""']","many people standing outside place talking front building sign say ""hi-pointe""","Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE""",entailment
32,The flight attendant dressed in yellow demonstrates life vest usage.,the flight attendant dressed in yellow demonstrates life vest usage.,flight attendant dressed yellow demonstrates life vest usage.,flight attendant dressed yellow demonstrates life vest usage,"['flight', 'attendant', 'dressed', 'yellow', 'demonstrates', 'life', 'vest', 'usage']",flight attendant dressed yellow demonstrates life vest usage,The flight attendant dressed in yellow demonstrates life vest usage,neutral
33,A man of the cloth puts a black substance on a man's forehead.,a man of the cloth puts a black substance on a man's forehead.,man cloth puts black substance man's forehead.,man cloth puts black substance mans forehead,"['man', 'cloth', 'put', 'black', 'substance', 'man', 'forehead']",man cloth put black substance man forehead,A man of the cloth puts a black substance on a mans forehead,neutral
34,Six dogs swimming in a river.,six dogs swimming in a river.,six dogs swimming river.,six dogs swimming river,"['six', 'dog', 'swimming', 'river']",six dog swimming river,Six dogs swimming in a river,neutral
35,A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,a man and woman are taking a picture of themselves while a woman in a scarf walks by them.,man woman taking picture woman scarf walks them.,man woman taking picture woman scarf walks them,"['man', 'woman', 'taking', 'picture', 'woman', 'scarf', 'walk', 'them']",man woman taking picture woman scarf walk them,A man and woman are taking a picture of themselves while a woman in a scarf walks by them,contradiction
36,A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,a man and woman are taking a picture of themselves while a woman in a scarf walks by them.,man woman taking picture woman scarf walks them.,man woman taking picture woman scarf walks them,"['man', 'woman', 'taking', 'picture', 'woman', 'scarf', 'walk', 'them']",man woman taking picture woman scarf walk them,A man and woman are taking a picture of themselves while a woman in a scarf walks by them,entailment
37,A bird is flapping its wings on the water.,a bird is flapping its wings on the water.,bird flapping wings water.,bird flapping wings water,"['bird', 'flapping', 'wing', 'water']",bird flapping wing water,A bird is flapping its wings on the water,neutral
38,This child is on the library steps.,this child is on the library steps.,child library steps.,child library steps,"['child', 'library', 'step']",child library step,This child is on the library steps,contradiction
39,This child is on the library steps.,this child is on the library steps.,child library steps.,child library steps,"['child', 'library', 'step']",child library step,This child is on the library steps,neutral
40,The tattooed basketball player is about to dunk the ball.,the tattooed basketball player is about to dunk the ball.,tattooed basketball player dunk ball.,tattooed basketball player dunk ball,"['tattooed', 'basketball', 'player', 'dunk', 'ball']",tattooed basketball player dunk ball,The tattooed basketball player is about to dunk the ball,entailment
41,The tattooed basketball player is about to dunk the ball.,the tattooed basketball player is about to dunk the ball.,tattooed basketball player dunk ball.,tattooed basketball player dunk ball,"['tattooed', 'basketball', 'player', 'dunk', 'ball']",tattooed basketball player dunk ball,The tattooed basketball player is about to dunk the ball,neutral
42,Several younger people sitting in front of a statue.,several younger people sitting in front of a statue.,several younger people sitting front statue.,several younger people sitting front statue,"['several', 'younger', 'people', 'sitting', 'front', 'statue']",several younger people sitting front statue,Several younger people sitting in front of a statue,neutral
43,Several younger people sitting in front of a statue.,several younger people sitting in front of a statue.,several younger people sitting front statue.,several younger people sitting front statue,"['several', 'younger', 'people', 'sitting', 'front', 'statue']",several younger people sitting front statue,Several younger people sitting in front of a statue,neutral
44,A group of adults stands in the bathroom looking down a small child in the bath.,a group of adults stands in the bathroom looking down a small child in the bath.,group adults stands bathroom looking small child bath.,group adults stands bathroom looking small child bath,"['group', 'adult', 'stand', 'bathroom', 'looking', 'small', 'child', 'bath']",group adult stand bathroom looking small child bath,A group of adults stands in the bathroom looking down a small child in the bath,contradiction
45,"A man, woman, and child get their picture taken in front of the mountains.","a man, woman, and child get their picture taken in front of the mountains.","man, woman, child get picture taken front mountains.",man woman child get picture taken front mountains,"['man', 'woman', 'child', 'get', 'picture', 'taken', 'front', 'mountain']",man woman child get picture taken front mountain,A man woman and child get their picture taken in front of the mountains,entailment
46,A person in orange clothing rests above a metro entrance.,a person in orange clothing rests above a metro entrance.,person orange clothing rests metro entrance.,person orange clothing rests metro entrance,"['person', 'orange', 'clothing', 'rest', 'metro', 'entrance']",person orange clothing rest metro entrance,A person in orange clothing rests above a metro entrance,entailment
47,A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,a basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,basketball player green shoes dunking ball net arena crowd looks on.,basketball player green shoes dunking ball net arena crowd looks on,"['basketball', 'player', 'green', 'shoe', 'dunking', 'ball', 'net', 'arena', 'crowd', 'look', 'on']",basketball player green shoe dunking ball net arena crowd look on,A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on,neutral
48,A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,a frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,frowning old man military cap civilian suit stands amongst crowd people outdoors carrying signs balloons.,frowning old man military cap civilian suit stands amongst crowd people outdoors carrying signs balloons,"['frowning', 'old', 'man', 'military', 'cap', 'civilian', 'suit', 'stand', 'amongst', 'crowd', 'people', 'outdoors', 'carrying', 'sign', 'balloon']",frowning old man military cap civilian suit stand amongst crowd people outdoors carrying sign balloon,A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons,entailment
49,A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,a frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,frowning old man military cap civilian suit stands amongst crowd people outdoors carrying signs balloons.,frowning old man military cap civilian suit stands amongst crowd people outdoors carrying signs balloons,"['frowning', 'old', 'man', 'military', 'cap', 'civilian', 'suit', 'stand', 'amongst', 'crowd', 'people', 'outdoors', 'carrying', 'sign', 'balloon']",frowning old man military cap civilian suit stand amongst crowd people outdoors carrying sign balloon,A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons,contradiction
50,A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,a guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,guy wearing jeans hat crouching handrail concrete embankment located front him.,guy wearing jeans hat crouching handrail concrete embankment located front him,"['guy', 'wearing', 'jean', 'hat', 'crouching', 'handrail', 'concrete', 'embankment', 'located', 'front', 'him']",guy wearing jean hat crouching handrail concrete embankment located front him,A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him,neutral
51,"Girl in a red coat, blue head wrap and jeans is making a snow angel.","girl in a red coat, blue head wrap and jeans is making a snow angel.","girl red coat, blue head wrap jeans making snow angel.",girl red coat blue head wrap jeans making snow angel,"['girl', 'red', 'coat', 'blue', 'head', 'wrap', 'jean', 'making', 'snow', 'angel']",girl red coat blue head wrap jean making snow angel,Girl in a red coat blue head wrap and jeans is making a snow angel,entailment
52,A group of people gathered at night watching an event.,a group of people gathered at night watching an event.,group people gathered night watching event.,group people gathered night watching event,"['group', 'people', 'gathered', 'night', 'watching', 'event']",group people gathered night watching event,A group of people gathered at night watching an event,neutral
53,"A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.","a man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.","man black shirt, commercial kitchen, holding meat took bag.",man black shirt commercial kitchen holding meat took bag,"['man', 'black', 'shirt', 'commercial', 'kitchen', 'holding', 'meat', 'took', 'bag']",man black shirt commercial kitchen holding meat took bag,A man in a black shirt in a commercial kitchen holding up meat he took out of a bag,neutral
54,A person in a red shirt is mowing the grass with a green riding mower.,a person in a red shirt is mowing the grass with a green riding mower.,person red shirt mowing grass green riding mower.,person red shirt mowing grass green riding mower,"['person', 'red', 'shirt', 'mowing', 'grass', 'green', 'riding', 'mower']",person red shirt mowing grass green riding mower,A person in a red shirt is mowing the grass with a green riding mower,neutral
55,Group of people wearing black shirts riding in an open top vehicle.,group of people wearing black shirts riding in an open top vehicle.,group people wearing black shirts riding open top vehicle.,group people wearing black shirts riding open top vehicle,"['group', 'people', 'wearing', 'black', 'shirt', 'riding', 'open', 'top', 'vehicle']",group people wearing black shirt riding open top vehicle,Group of people wearing black shirts riding in an open top vehicle,entailment
56,Group of people wearing black shirts riding in an open top vehicle.,group of people wearing black shirts riding in an open top vehicle.,group people wearing black shirts riding open top vehicle.,group people wearing black shirts riding open top vehicle,"['group', 'people', 'wearing', 'black', 'shirt', 'riding', 'open', 'top', 'vehicle']",group people wearing black shirt riding open top vehicle,Group of people wearing black shirts riding in an open top vehicle,neutral
57,Two men prepare a fish at a dock.,two men prepare a fish at a dock.,two men prepare fish dock.,two men prepare fish dock,"['two', 'men', 'prepare', 'fish', 'dock']",two men prepare fish dock,Two men prepare a fish at a dock,entailment
58,"A woman, in red and white, and wearing glasses, sits in a room with other people.","a woman, in red and white, and wearing glasses, sits in a room with other people.","woman, red white, wearing glasses, sits room people.",woman red white wearing glasses sits room people,"['woman', 'red', 'white', 'wearing', 'glass', 'sits', 'room', 'people']",woman red white wearing glass sits room people,A woman in red and white and wearing glasses sits in a room with other people,neutral
59,A biker races.,a biker races.,biker races.,biker races,"['biker', 'race']",biker race,A biker races,contradiction
60,A golden dog passes a blue ball to another golden dog on the beach.,a golden dog passes a blue ball to another golden dog on the beach.,golden dog passes blue ball another golden dog beach.,golden dog passes blue ball another golden dog beach,"['golden', 'dog', 'pass', 'blue', 'ball', 'another', 'golden', 'dog', 'beach']",golden dog pass blue ball another golden dog beach,A golden dog passes a blue ball to another golden dog on the beach,contradiction
61,A woman is weaving with a comb in her hand.,a woman is weaving with a comb in her hand.,woman weaving comb hand.,woman weaving comb hand,"['woman', 'weaving', 'comb', 'hand']",woman weaving comb hand,A woman is weaving with a comb in her hand,neutral
62,A birthday party for many little people to enjoy.,a birthday party for many little people to enjoy.,birthday party many little people enjoy.,birthday party many little people enjoy,"['birthday', 'party', 'many', 'little', 'people', 'enjoy']",birthday party many little people enjoy,A birthday party for many little people to enjoy,neutral
63,A birthday party for many little people to enjoy.,a birthday party for many little people to enjoy.,birthday party many little people enjoy.,birthday party many little people enjoy,"['birthday', 'party', 'many', 'little', 'people', 'enjoy']",birthday party many little people enjoy,A birthday party for many little people to enjoy,neutral
64,The sun breaks through the trees as a child rides a swing.,the sun breaks through the trees as a child rides a swing.,sun breaks trees child rides swing.,sun breaks trees child rides swing,"['sun', 'break', 'tree', 'child', 'ride', 'swing']",sun break tree child ride swing,The sun breaks through the trees as a child rides a swing,entailment
65,Everyone on the street in the city seem to be busy doing their own thing.,everyone on the street in the city seem to be busy doing their own thing.,everyone street city seem busy thing.,everyone street city seem busy thing,"['everyone', 'street', 'city', 'seem', 'busy', 'thing']",everyone street city seem busy thing,Everyone on the street in the city seem to be busy doing their own thing,entailment
66,Everyone on the street in the city seem to be busy doing their own thing.,everyone on the street in the city seem to be busy doing their own thing.,everyone street city seem busy thing.,everyone street city seem busy thing,"['everyone', 'street', 'city', 'seem', 'busy', 'thing']",everyone street city seem busy thing,Everyone on the street in the city seem to be busy doing their own thing,contradiction
67,Everyone on the street in the city seem to be busy doing their own thing.,everyone on the street in the city seem to be busy doing their own thing.,everyone street city seem busy thing.,everyone street city seem busy thing,"['everyone', 'street', 'city', 'seem', 'busy', 'thing']",everyone street city seem busy thing,Everyone on the street in the city seem to be busy doing their own thing,entailment
68,Several women are playing volleyball.,several women are playing volleyball.,several women playing volleyball.,several women playing volleyball,"['several', 'woman', 'playing', 'volleyball']",several woman playing volleyball,Several women are playing volleyball,entailment
69,Several women are playing volleyball.,several women are playing volleyball.,several women playing volleyball.,several women playing volleyball,"['several', 'woman', 'playing', 'volleyball']",several woman playing volleyball,Several women are playing volleyball,entailment
70,Two women's volleyball teams are competing against each other on a salmon-colored and turquoise court while a referee in black watches.,two women's volleyball teams are competing against each other on a salmon-colored and turquoise court while a referee in black watches.,two women's volleyball teams competing salmon-colored turquoise court referee black watches.,two womens volleyball teams competing salmon-colored turquoise court referee black watches,"['two', 'woman', 'volleyball', 'team', 'competing', 'salmon-colored', 'turquoise', 'court', 'referee', 'black', 'watch']",two woman volleyball team competing salmon-colored turquoise court referee black watch,Two womens volleyball teams are competing against each other on a salmon-colored and turquoise court while a referee in black watches,neutral
71,A little boy with a blue bike helmet and a woman in a green bike helmet are riding bikes down a street with other various bike riders.,a little boy with a blue bike helmet and a woman in a green bike helmet are riding bikes down a street with other various bike riders.,little boy blue bike helmet woman green bike helmet riding bikes street various bike riders.,little boy blue bike helmet woman green bike helmet riding bikes street various bike riders,"['little', 'boy', 'blue', 'bike', 'helmet', 'woman', 'green', 'bike', 'helmet', 'riding', 'bike', 'street', 'various', 'bike', 'rider']",little boy blue bike helmet woman green bike helmet riding bike street various bike rider,A little boy with a blue bike helmet and a woman in a green bike helmet are riding bikes down a street with other various bike riders,neutral
72,"People are riding bicycles in the street, and they are all wearing helmets.","people are riding bicycles in the street, and they are all wearing helmets.","people riding bicycles street, wearing helmets.",people riding bicycles street wearing helmets,"['people', 'riding', 'bicycle', 'street', 'wearing', 'helmet']",people riding bicycle street wearing helmet,People are riding bicycles in the street and they are all wearing helmets,contradiction
73,A middle eastern marketplace.,a middle eastern marketplace.,middle eastern marketplace.,middle eastern marketplace,"['middle', 'eastern', 'marketplace']",middle eastern marketplace,A middle eastern marketplace,entailment
74,a woman in a black shirt looking at a bicycle.,a woman in a black shirt looking at a bicycle.,woman black shirt looking bicycle.,woman black shirt looking bicycle,"['woman', 'black', 'shirt', 'looking', 'bicycle']",woman black shirt looking bicycle,a woman in a black shirt looking at a bicycle,neutral
75,Four men playing drums in very orange lighting while one of them is also drinking something out of a bottle.,four men playing drums in very orange lighting while one of them is also drinking something out of a bottle.,four men playing drums orange lighting one also drinking something bottle.,four men playing drums orange lighting one also drinking something bottle,"['four', 'men', 'playing', 'drum', 'orange', 'lighting', 'one', 'also', 'drinking', 'something', 'bottle']",four men playing drum orange lighting one also drinking something bottle,Four men playing drums in very orange lighting while one of them is also drinking something out of a bottle,entailment
76,Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background.,young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background.,young boys green blue jerseys kick around soccer ball soccer games take place background.,young boys green blue jerseys kick around soccer ball soccer games take place background,"['young', 'boy', 'green', 'blue', 'jersey', 'kick', 'around', 'soccer', 'ball', 'soccer', 'game', 'take', 'place', 'background']",young boy green blue jersey kick around soccer ball soccer game take place background,Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background,neutral
77,A guy and a girl look down a mountain range.,a guy and a girl look down a mountain range.,guy girl look mountain range.,guy girl look mountain range,"['guy', 'girl', 'look', 'mountain', 'range']",guy girl look mountain range,A guy and a girl look down a mountain range,contradiction
78,A golden retriever nurses puppies.,a golden retriever nurses puppies.,golden retriever nurses puppies.,golden retriever nurses puppies,"['golden', 'retriever', 'nurse', 'puppy']",golden retriever nurse puppy,A golden retriever nurses puppies,neutral
79,A golden retriever nurses puppies.,a golden retriever nurses puppies.,golden retriever nurses puppies.,golden retriever nurses puppies,"['golden', 'retriever', 'nurse', 'puppy']",golden retriever nurse puppy,A golden retriever nurses puppies,entailment
80,A young man in a heavy brown winter coat stands in front of a blue railing with his arms spread.,a young man in a heavy brown winter coat stands in front of a blue railing with his arms spread.,young man heavy brown winter coat stands front blue railing arms spread.,young man heavy brown winter coat stands front blue railing arms spread,"['young', 'man', 'heavy', 'brown', 'winter', 'coat', 'stand', 'front', 'blue', 'railing', 'arm', 'spread']",young man heavy brown winter coat stand front blue railing arm spread,A young man in a heavy brown winter coat stands in front of a blue railing with his arms spread,neutral
81,A man in a brown jacket stands with his arms spread.,a man in a brown jacket stands with his arms spread.,man brown jacket stands arms spread.,man brown jacket stands arms spread,"['man', 'brown', 'jacket', 'stand', 'arm', 'spread']",man brown jacket stand arm spread,A man in a brown jacket stands with his arms spread,neutral
82,These girls are having a great time looking for seashells.,these girls are having a great time looking for seashells.,girls great time looking seashells.,girls great time looking seashells,"['girl', 'great', 'time', 'looking', 'seashell']",girl great time looking seashell,These girls are having a great time looking for seashells,entailment
83,A standing man talks to a seated woman while on some sort of vehicle.,a standing man talks to a seated woman while on some sort of vehicle.,standing man talks seated woman sort vehicle.,standing man talks seated woman sort vehicle,"['standing', 'man', 'talk', 'seated', 'woman', 'sort', 'vehicle']",standing man talk seated woman sort vehicle,A standing man talks to a seated woman while on some sort of vehicle,contradiction
